name,ingredients
bit-o-honey,"butterscotch liqueur, irish cream liqueur"
bitter elder,"angostura aromatic bitters, apple juice, dry gin, lemon juice, st-germain elderflower liqueur"
bittersweet symphony,"apricot brandy liqueur, grapefruit juice, lime juice, triple sec, vodka"
bitterest pill,"italian red bitter liqueur, passion fruit syrup, vodka"
black & tan,"pale ale, stout beer"
black & white daiquiri,"blackberries, coconut rum liqueur, creme de mure liqueur, light rum, lime juice, sugar syrup"
blackbeard,"cola, light rum, stout beer"
black bison martini,"apple juice, apple schnapps liqueur, dry gin, martini extra dry vermouth"
black dream,"black sambuca liqueur, irish cream liqueur"
black forest gateau,"fraise des bois, framboise de ronce, noir de bourgogne cassis, single cream / half-and-half, vodka"
black irish,"coffee liqueur, irish cream liqueur, vanilla ice-cream, vodka"
black jack shot,"black sambuca liqueur, daddy rack tennessee whiskey"
black magic,"brut champagne, orange liqueur, red grapes"
black diamond,"brown creme de cacao, espresso coffee, light rum"
black mussel,"blue curacao, brut champagne, noir de bourgogne cassis"
black 'n' blue caipirovska,"blackberries, blueberries, lime juice, sugar syrup, vodka"
black nuts,"black sambuca liqueur, hazelnut liqueur"
black russian,"coffee liqueur, vodka"
black velvet,"brut champagne, stout beer"
black widow,"black sambuca liqueur, coconut rum liqueur, fraise des bois, milk, single cream / half-and-half"
blackthorn (english),"chilled water, dry gin, orange bitters, sloe gin, sweet vermouth"
blackthorn (irish),"absinthe, boker's bitters, irish whiskey, martini extra dry vermouth, sweet vermouth"
blimey,"blackberries, lime juice, noir de bourgogne cassis, sugar syrup, vodka"
bling! bling!,"brut champagne, lime juice, raspberries, sugar syrup, vodka"
blinker,"bob's grapefruit bitters, grapefruit juice, grenadine syrup, straight rye whiskey"
blood and sand (classic formula),"cherry heering cherry brandy liqueur, orange juice, sweet vermouth, whisky"
bloodhound #2,"grapefruit juice, italian red bitter liqueur, vodka"
blood orange cocktail,"blood orange juice, dry gin, italian red bitter liqueur, martini extra dry vermouth"
bloody joseph,"black pepper, celery salt, horseradish sauce, hot pepper sauce, lemon juice, tomato juice, whisky, worcestershire sauce"
bloody maria,"black pepper, celery salt, horseradish sauce, hot pepper sauce, lemon juice, tawny port, tequila, tomato juice, worcestershire sauce"
bloody maru,"black pepper, celery salt, hot pepper sauce, lemon juice, sake, worcestershire sauce"
bloody mary (modern recipe),"black pepper, celery salt, hot pepper sauce, lemon juice, tomato juice, vodka, worcestershire sauce"
bloody shame (non-alcoholic),"black pepper, celery salt, horseradish sauce, hot pepper sauce, lemon juice, tomato juice, worcestershire sauce"
blow job,"banana liqueur, coffee liqueur, orange liqueur"
blue angel,"blue curacao, cognac, lemon juice, parfait amour liqueur, single cream / half-and-half"
blue bird,"blue curacao, dry gin, lemon juice, orgeat syrup"
blue blazer,"boiling water, powdered sugar, whisky"
blue champagne,"blue curacao, brut champagne, lemon juice, triple sec, vodka"
blue cosmo,"blue curacao, cranberry juice, lime juice, vodka"
blue fin,"cranberry juice, hpnotiq tropical liqueur, vodka"
blue hawaiian,"blue curacao, cream of coconut, light rum, lime juice, pineapple juice"
blue heaven,"blue curacao, disaronno amaretto, light rum, lime cordial, pineapple juice"
blue kamikaze,"blue curacao, lime juice, vodka"
blue lady,"blue curacao, dry gin, lemon juice, pasteurised egg white"
