name,ingredients
the democrat,"creme de peche liqueur, honey syrup, lemon juice, maker's mark bourbon"
alaska,"gin, green chartreuse liqueur"
blossom,"lemon juice, light rum, orange juice, sugar syrup"
el dorado,"advocaat liqueur, coconut milk, light rum, white creme de cacao liqueur"
yellow bird,"cointreau triple sec liqueur, galliano l'autentico liqueur, light rum, lime juice"
goodall 64,"avallen calvados, elderflower liqueur, lemon juice, prosecco sparkling wine, sugar syrup"
any last words,"apricot liqueur, basil leaves, beefeater london dry gin, green chartreuse liqueur, lime juice, pineapple juice, sugar syrup"
aphrodisiac,"lemon juice, limoncello di capri liqueur, prosecco sparkling wine, st-germain elderflower liqueur, sugar syrup, the bitter truth creole bitters"
forbidden fruit,"calvados boulard vsop pays d'auge, lemon juice, luxardo maraschino liqueur, sugar syrup, yellow chartreuse foam"
rhubarb wire,"beefeater london dry gin, citric acid solution, rhubarb sugar syrup, sweet vermouth"
what's the big dill?,"barsol primero quebranta pisco, fino sherry, fresh dill, green tea liqueur, st-germain elderflower liqueur"
scott 's espresso martini,"espresso coffee, kahlua coffee liqueur, sugar syrup, vodka"
scott 's clover club cocktail no.3 (difford's recipe),"aquafaba, beefeater 24 london dry gin, chambord liqueur, lemon juice, sugar syrup"
perfect lady,"creme de peche liqueur, gin, lemon juice, pasteurised egg white"
peter's biggles sidecar,"cognac, ginger liqueur, lemon juice, peychaud's or other creole-style bitters, sugar syrup"
white gold,"abricot eau-de-vie, bols banana liqueur, egg white, galliano l'autentico liqueur, pineapple juice"
honey ginger gimlet,"domaine de canton ginger liqueur, gin, honey, lemon juice, mint leaves"
blue balalaika,"blue curacao liqueur, lemon juice, triple sec liqueur, vodka"
blue negligee,"green chartreuse liqueur, ouzo 12, parfait amour liqueur"
strange weaver,"campari bitter liqueur, caribbean blended rum aged 6-10 years, cocchi storico vermouth di torino, gin, lemon juice, sirop de orgeat syrup"
red hook,"carpano antica formula vermouth, luxardo maraschino liqueur, rittenhouse straight rye"
siwi wilk,"boiling water, bourbon whiskey, honey, lime"
the world is burning,"blanco tequila, lime juice, mango juice, peach, pineapple juice, sugar syrup, triple sec liqueur"
corpse reviver no.2 (doppelganger recipe),"absinthe verte, dolin blanc vermouth de chambery, gin, lemon juice, liquore strega"
betty's diy cherrute,"cherry brandy liqueur, cherry flavoured/infused vodka, grapefruit juice"
jo's hemingway special daiquiri (papa doble),"grapefruit juice, light rum, lime juice, luxardo maraschino liqueur"
amelia earhart,"elderflower liqueur, gin, ginger liqueur, lemon juice, sugar syrup"
sergey's james joyce,"aperol aperitivo, irish whiskey, lime juice, triple sec liqueur"
estrella collins,"lime juice, reposado tequila, soda from siphon, sugar syrup"
earl grey bee's knees,"gin infused with earl grey tea, honey flavoured whiskey, honey sugar syrup, lemon juice"
my tie,"bergamot cordial, botran reserva blanca rum, cointreau triple sec liqueur, lemon juice, monin kiwi syrup"
re55,"'simple' sugar syrup, green chartreuse liqueur, noilly prat extra dry vermouth, orange bitters, white 1-3 year old light rum"
trillium gin fizz,"carbonated/sparkling/selzer mineral water, double cream / heavy cream, egg white, lemon juice, lime juice, orange flower/blossom water, trillium barrel reserved gin, vanilla sugar"
the professional,"angostura cocoa bitters, baron otard vsop cognac, demerara / dark muscovado sugar syrup, the bitter truth wood drops and dashes"
black celebration,"cognac, cynar ricetta originale artichoke amaro liqueur, fee brothers cherry bitters, italian red bitter liqueur"
black walnut old fashioned,"demerara / dark muscovado / brown sugar, fee brothers black walnut bitters, soda water, woodford reserve bourbon"
bossa nova ww,"apricot liqueur, egg white, galliano l'autentico liqueur, lemon juice, light rum, pineapple juice"
brandy highball,"angostura or other aromatic bitters, ginger ale, soda, tonic water or other carbonated mixer, soda water, spanish brandy"
caribbean sunset,"blue curacao, bols banana liqueur, gin, grenadine syrup, lemon juice, single cream / half-and-half"
dizzy blonde,"advocaat liqueur, lemonade, pernod anise liqueur"
dunk cocktail,"blue curacao, dry vermouth, galliano l'autentico liqueur, gin"
el burro ww,"banana, coconut milk, dark/black/blackstrap rum, kahlua coffee liqueur, single cream / half-and-half"
green fantasy,"dry vermouth, lime juice, midori melon liqueur, vodka"
island affair,"blue curacao, coconut milk, cointreau triple sec liqueur, mango juice, midori melon liqueur, orange juice"
passion,"banana, mango juice, orange juice, passion fruit, pineapple juice"
peach marnier,"dark/black/blackstrap rum, grand marnier liqueur, peach, pineapple juice, sugar syrup"
southerly buster,"dry vermouth, ginger ale, lime cordial, spanish brandy"
the filby,"amaretto liqueur, campari bitter liqueur, dry vermouth, gin"
touch of zam,"benedictine d.o.m., drambuie liqueur, lemon juice, orange juice, pernod anise liqueur"
vesuvius,"campari bitter liqueur, orange juice, reposado tequila"
fire on the mountain,"cardamom bitters, honey, lime juice, orange juice, pineapple juice, plantation original dark rum, plantation overproof o.f.t.d. rum, rum, spiced rum"
occasion,"coffee liqueur, rum, tawny port"
damn the bloody weather,"blood orange juice, dry gin, orange bitters, orange curacao liqueur, sweet vermouth"
green puritan,"chilled water, dry gin, green chartreuse liqueur, martini extra dry vermouth, orange bitters"
running through orchards,"angostura aromatic bitters, lemon juice, st-germain elderflower liqueur, st. george spiced pear liqueur, sugar syrup, triple sec, vodka"
west india sour,"angostura aromatic bitters, cognac, lemon juice, orange bitters, orgeat sugar syrup"
swedish summer,"'simple' sugar syrup, apple juice, creme fraise des bois liqueur, lemon juice, lime flavoured vodka"
gingerbread eggnog (cold),"cognac, egg, milk, monin speculoos syrup, single cream / half-and-half, sugar syrup"
el pecado del paraiso,"angostura aromatic bitters, disaronno amaretto, grenadine/pomegranate syrup, rum"
sweet godfather,"chivas regal 12 year old blended scotch whisky, disaronno amaretto, marsala superiore doc secco wine"
piotrek's dark 'n' stormy,"angostura or other aromatic bitters, ginger beer, lime juice, plantation original dark rum, plantation overproof o.f.t.d. rum, sugar syrup"
jammy,"barolo chinato, cognac, dutch cacao white creme de cacao, espresso coffee"
the singularity,"chambord liqueur, fentimans rose lemonade, lime juice, mint leaves, vodka"
jack's porn star martini,"brut champagne, eager pineapple juice, lime juice, passion fruit, passion fruit liqueur, vanilla sugar syrup, vanilla vodka"
spicy dead lady,"bittersweet orange-red aperitivo, del maguey vida mezcal, john d. taylor's velvet falernum liqueur, lime, lime juice, scrappy's bitters firewater tincture"
bunny mother,"cointreau triple sec liqueur, grenadine syrup, lemon juice, orange juice, vodka"
captain's blood,"angostura aromatic bitters, bacardi 4 year old gold rum, lime juice"
coffee grand marnier,"grand marnier liqueur, kahlua coffee liqueur, orange juice"
virgin's answer,"banana, dark creme de cacao liqueur, ice cubes, kahlua coffee liqueur, lemon juice, orange juice, white 1-3 year old light rum"
hal finney,"'simple' sugar syrup, campari bitter liqueur, lime juice, pineapple juice, rittenhouse bottled-in-bond straight rye whiskey"
alexander's clover club (house-made),"'simple' sugar syrup, gin, lemon juice, pasteurised egg white, raspberries"
william's dark 'n' stormy (difford's recipe),"angostura or other aromatic bitters, dark/black/blackstrap rum, ginger beer, lime juice, passion fruit, sugar syrup"
vegan brownie,"angostura aromatic bitters, cocchi storico vermouth di torino, cold brew coffee, dark/black/blackstrap rum, maraschino liqueur"
cartola,"angostura or other aromatic bitters, cachaca, filter coffee, licor 43 original liqueur, sweet vermouth"
so you're telling me there's a chance,"absinthe verte, bittersweet orange-red aperitivo, bourbon whiskey, fernet branca digestive bitter liqueur, peychaud's or other creole-style bitters"
nathan's old fashioned,"'simple' sugar syrup, angostura aromatic bitters, bourbon whiskey"
nathan's sazerac,"'simple' sugar syrup, peychaud's aromatic bitters, straight rye whiskey"
prince philip's boddy,"boddington's beer, demerara / dark muscovado sugar syrup, fee brothers rhubarb bitters, glenkinchie 12 year old lowland single malt scotch whisky, lemon juice"
golden cadillac #2,"galliano l'autentico liqueur, single cream / half-and-half, white creme de cacao liqueur"
mexican coffee #2,"filter coffee, kahlua coffee liqueur, single cream / half-and-half, sugar syrup"
monk's coffee (hot),"benedictine d.o.m., filter coffee, single cream / half-and-half, sugar syrup"
calypso coffee (hot),"filter coffee, single cream / half-and-half, sugar syrup, tia maria liqueur"
laguna,"campari bitter liqueur, cognac, martini bianco vermouth, orange bitters, vodka"
merry widow #3,"dry vermouth, dubonnet/french rouge aromatised wine, orange bitters"
silver sunset,"apricot liqueur, campari bitter liqueur, egg white, lemon juice, orange juice, vodka"
toblerone cocktail #2,"baileys irish cream liqueur, dark creme de cacao liqueur, frangelico hazelnut liqueur, honey syrup, kahlua coffee liqueur, pasteurised egg white, single cream / half-and-half"
blue coconut cloud,"blue curacao, cream of coconut, disaronno amaretto, malibu coconut liqueur, milk"
jeppson's collins,"dry vermouth, gin, jeppson's malort, lemon, soda water, sweet & sour mix"
daiquiri no.3 - kelsey's version,"grapefruit juice, lime juice, maraschino liqueur, sugar cane syrup, white/gold 1-3 year old mellow light rum"
bottecchia,"campari bitter liqueur, cynar ricetta originale artichoke amaro liqueur, fernet branca digestive bitter liqueur, salt"
great gatsby - kelsey's version,"grapefruit juice, lillet blanc, lime juice, salt, vodka"
big boss,"bob's vanilla bitters, disaronno amaretto, straight rye whiskey"
sudeste desvairado,"cachaca, espresso coffee, triple sec liqueur, white caster sugar"
turf,"absinthe, dolin dry vermouth de chambery, luxardo maraschino liqueur, regans' orange bitters no.6, the london no.1 original blue gin"
tropical lucano,"cartron banane liqueur, funkin jalapeno syrup, lemon juice, lucano amaro, waqar pisco"
neil's art of choke,"cynar or other carciofo amaro, demerara / dark muscovado sugar syrup, gin, green chartreuse liqueur, lime juice, mint leaves"
blueberry vodka 43,"bols blueberry liqueur, lemon juice, licor 43 original liqueur, vodka"
nomad negroni,"aperol aperitivo, averna amaro, gin, red jalapeno/fresno chili deseeded & chopped, rosso/rouge vermouth, the bitter truth bogart's bitters"
mezcal sour,"agave syrup, amaro nonino, egg white, lime juice, mezcal"
after school special,"averna amaro, peanut butter whiskey, the bitter truth spiced chocolate bitters"
return to twin peaks,"bourbon whiskey, cherry brandy liqueur, coffee bitters, lemon peel, maple syrup, maraschino cherries, still/sin gas mineral water"
smokescreen,"'simple' sugar syrup, green chartreuse liqueur, laphroaig 10 year old whisky, lime juice, mint leaves, mint sprigs, the famous grouse blended scotch whisky"
old frienemy,"campari bitter liqueur, cognac, grapefruit juice, st-germain elderflower liqueur"
love in time of lockdown,"campari bitter liqueur, lillet blanc, tonic water, triple sec liqueur, vodka"
shelby's cucumber jalapeno tequila,"blanco tequila, cucumber, jalapeno slice, lime, re'al blue agave nectar natural sweetener"
cardamom whiskey sout,"bourbon whiskey, cardamom bitters, green cardamom pods, lemon juice, sugar syrup"
chris's spiced pear,"lime juice, pear juice, schladerer williams-birne, smith & cross traditional pot still navy strength jamaican rum, sugar syrup"
mango daiquiri frozen,"cointreau triple sec liqueur, lemon juice, light rum, mango puree"
long island lizard,"blue curacao, cointreau triple sec liqueur, gin, lemon juice, lemonade, light rum, midori melon liqueur"
angel's kiss,"blended scotch whisky, cherry heering cherry brandy liqueur, orange juice, rosso/rouge vermouth"
dead 'orse,"angostura or other aromatic bitters, blended scotch whisky, hot pepper sauce, lemon juice, tomato juice, worcestershire sauce"
matilda,"cognac, kahlua coffee liqueur, single cream / half-and-half"
lone's la vendangeuse,"gin, green grapes, lemon juice, lillet blanc, monin vanilla syrup"
lone's prestige cocktail,"dry vermouth, el dorado 12 year old rum, falernum liqueur, lime juice, pineapple juice"
angela's queen's park hotel super cocktail,"angostura or other aromatic bitters, grenadine/pomegranate syrup, lime juice, rosso/rouge vermouth, sugar syrup, white/gold 1-3 year old mellow light rum"
aaron's gin & tonic,"fever-tree mediterranean tonic water, fords london dry gin, lime juice, mint leaves"
the prelude,"absinthe, celery bitters, dry gin, lillet blanc, mentzendorff kummel liqueur"
jakub's killer cocktail,"amaretto liqueur, gin, italian red bitter liqueur, lemon juice, passion fruit, passion fruit syrup, white 1-3 year old light rum"
jakub's the right hand,"caribbean blended rum aged 6-10 years, italian red bitter liqueur, rosso/rouge vermouth, xocolatl mole bitters"
jakub's amaretto sour,"amaretto liqueur, angostura or other aromatic bitters, lemon juice, licor 43 original liqueur, pasteurised egg white"
jaselyn's killer cocktail,"amaretto liqueur, gin, lemon juice, passion fruit liqueur, passion fruit syrup"
sunshine margarita,"eager pineapple juice, jose cuervo especial reposado tequila, lime juice, passion fruit, passion fruit syrup, passoa liqueur"
arsenic & old lace gw,"absinthe verte, bianco vermouth, creme de violette liqueur, gin"
french connection w/ lillet,"angostura or other aromatic bitters, cognac, honey syrup, lillet blanc, orange bitters, orange peel"
imbibe's bitter giuseppe,"carpano antica formula vermouth, cynar or other carciofo amaro, lemon juice, lemon peel, orange bitters"
suze sorrentino,"lillet blanc, limoncello liqueur, soda water, suze gentian liqueur"
river of life,"archers peach schnapps, chilled water, luxardo bitter bianco liqueur, qing xiang/fen xiang baijiu"
fabian's sazerac cocktail (new orleans style),"absinthe verte, angostura aromatic bitters, lemon peel, peychaud's aromatic bitters, straight rye whiskey, sugar cube"
fabian's amaretto sour,"disaronno amaretto, egg white, lemon juice, orange juice, syrup from luxardo maraschino cherries"
check mate,"angostura or other aromatic bitters, gin, mate energy drink, rosso/rouge vermouth"
springtime gin,"'simple' sugar syrup, creme de violette liqueur, fabbri amarena mixybar cherry syrup, fever-tree handpicked elderflower tonic, lemon juice, monkey 47 schwarzwald dry gin, orange juice"
bacchus cocktail,"aperol aperitivo, helbing hamburg's kummel, ransom old tom gin, zirbenz stone pine liqueur of the alps"
dirty swimmingpool,"blue curacao liqueur, green mark vodka, lemon juice, orange juice, pineapple juice"
drosselmeyer,"baileys irish cream liqueur, fernet branca digestive bitter liqueur"
irmina's caribeno,"coconut water, lime juice, mint leaves, sugar syrup, white 1-3 year old light rum"
caravan,"absinthe, blanco tequila, clement canne bleue 2016 martinique rhum blanc agricole, peychaud's aromatic bitters, triple sec liqueur, white creme de cacao liqueur"
piotrek's hey hey cocktail,"cognac, lillet blanc, lime juice, triple sec liqueur"
irmina's bella donna daiquiri,"disaronno amaretto, lemon juice, sugar syrup, tiki lovers pineapple dark rum"
piotrek's bella donna daiquiri,"disaronno amaretto, lime juice, plantation overproof o.f.t.d. rum, tiki lovers pineapple dark rum"
irmina's lotus espresso,"aberfeldy 12 year old single malt, coffee liqueur, espresso coffee, maple syrup"
peter's amaretto sour,"amaretto liqueur, angostura or other aromatic bitters, cointreau triple sec liqueur, lemon juice, pasteurised egg white"
coco geisha,"coconut water, japanese single malt whisky, orange bitters, sake, sugar syrup"
lovely pear of coconuts,"coconut rum liqueur, coconut water, light rum, poire william liqueur"
irmina's chocolate orange espresso martini,"coffee liqueur, cointreau triple sec liqueur, dark creme de cacao liqueur, espresso coffee, saline solution 4:1"
elote old fashioned,"agave syrup, ancho reyes chile liqueur, nixta liqueur, reposado tequila"
jeanie's orange brulee,"cognac, disaronno amaretto, double cream / heavy cream, grand marnier liqueur"
oh my!,"chilled water, lime juice, sugar syrup, triple sec liqueur, vodka"
millennial pink,"agave syrup, campari bitter liqueur, gin, lemon juice, pasteurised egg white"
river cam ice tea,"blanco tequila, blue curacao liqueur, dandelion & burdock, east london liquor co. london dry gin, rum, vodka"
kristine's corn'n'oil cocktail,"angostura or other aromatic bitters, caribbean blended rum aged 6-10 years, dark/black/blackstrap rum, falernum liqueur, lime juice, pineapple juice, wray & nephew white overproof rum"
jakub's rhine pirates cobbler,"basil leaves, blood orange juice, green grapes, licor 43 original liqueur, lime juice, pineapple, white 1-3 year old light rum"
napa rose,"beefeater london dry gin, campari bitter liqueur, drambuie liqueur, lemon juice, peychaud's aromatic bitters"
false toronto,"angostura or other aromatic bitters, cherry syrup, chilled water, fernet liqueur, jameson irish whiskey"
barney barnato ii,"angostura or other aromatic bitters, armagnac brandy, blood orange bitters, lillet blanc"
nick's montegroni,"bianco vermouth, montenegro amaro, roku japanese gin"
sean's passion fruit daiquiri,"appleton estate signature blend, lime juice, passion fruit puree"
ronan collins,"irish whiskey, lemon juice, soda water, sugar syrup"
the air near my fingers,"dry vermouth, gin, lemon juice, sugar syrup"
maple aztec chocolate old fashioned,"bourbon whiskey, fee brothers aztec chocolate bitters, maple syrup"
fabri's cynar bourbon sour,"bourbon whiskey, cynar ricetta originale artichoke amaro liqueur, lemon juice, sugar syrup"
summa peto,"fino sherry, light rum, poire william liqueur, sake"
flor de jerez,"amontillado sherry, angostura aromatic bitters, apricot brandy liqueur, jamaican aged blended rum, lemon juice, sugar syrup"
short rib,"hot pepper sauce, lime juice, patron silver blanco tequila, pomegranate mollasses, sugar syrup"
nixta the afternoon,"cold brew coffee, double cream / heavy cream, nixta liqueur, sugar syrup"
vincent's manhattan (perfect),"fee brothers aztec chocolate bitters, fee brothers old fashion bitters, jack daniel's rye, lillet blanc, maraschino syrup, sweet vermouth, wild turkey 101 proof kentucky straight bourbon whiskey"
moyni,"campari bitter liqueur, four pillars rare dry australian gin, lillet blanc, mezcal, sweet vermouth"
choke me daddy,"cocchi storico vermouth di torino, cynar ricetta originale artichoke amaro liqueur, east london liquor co. london dry gin, egg white, lemon juice, monin pure cane sugar syrup, orange bitters"
maple oat latte martini,"bebo coffee liqueur, filter coffee, maker's mark bourbon, maple bitters, oat milk / oatmeal water"
biguzzi's brandy old fashioned,"angostura or other aromatic bitters, cognac, maple syrup, orange bitters"
smoky pineapple margarita,"agave syrup, arette classic blanco, lime juice, regans' orange bitters no.6, san cosme 100% agave espadin joven mezcal, the bitter truth grapefruit bitters"
hickory old fashioned,"angostura or other aromatic bitters, bourbon whiskey, maple syrup"
thinh's caribeno,"coconut water, lime juice, sugar syrup, white 1-3 year old light rum"
golden-rita,"agave syrup, alize gold passion, blanco tequila, grapefruit juice, lime juice"
leading lady,"'simple' sugar syrup, chambord liqueur, creme de peche liqueur, egg white, grey goose la vanille vodka, raspberries"
lone's pina colada cocktail (cuban style),"el dorado 12 year old rum, le sirop de monin coconut syrup, lime juice, pineapple juice"
thistle,"jameson irish whiskey, martini bianco vermouth, montenegro amaro, orange bitters"
edmund's aviation cocktail,"chilled water, hendrick's gin, lemon juice, luxardo maraschino liqueur, st-germain elderflower liqueur"
tim lister's homely smoke,"agave syrup, amaretto liqueur, cognac, orange bitters, whisky"
todd's margarita on-the-rocks (difford's recipe),"agave syrup, lime juice, margarita bitters, pierre ferrand orange curacao, reposado tequila, salt"
black walnut manhattan,"averna amaro, black walnut bitters, straight rye whiskey"
mrs daisy robinson,"barsol mosto verde italia pisco, grapefruit juice, lime juice, peychaud's or other creole-style bitters, pineapple sugar syrup, prosecco sparkling wine"
gordon's three miler,"cognac, lemon juice, pama pomegranate liqueur, white 1-3 year old light rum"
6 o'clock,"chocolate cream liqueur, coffee liqueur, espresso coffee, vanilia vodka"
beef n' cheese's final ward,"bourbon whiskey, lemon juice, maraschino liqueur, yellow chartreuse liqueur"
chad's watermelon martini,"coconut water, dry vermouth, vodka, watermelon liqueur"
the willow,"black raspberry liqueur, lime juice, raspberry flavoured vodka, rosemary sprig, vanilla vodka"
hawksmoor marmalade martini,"campari bitter liqueur, gin, lemon juice, orange bitters, orange marmalade"
r s leonard's hunk cocktail,"lime juice, pineapple juice, sugar syrup, vanilla vodka"
michael's honey badger,"bourbon whiskey, honey sugar syrup, king's ginger liqueur, lemon bitters, lemon juice, rosemary sprig, rosemary sugar syrup, yellow chartreuse liqueur"
james's grasshopper,"blue curacao liqueur, cointreau triple sec liqueur, dutch cacao white creme de cacao, luxardo maraschino liqueur, single cream / half-and-half, teichenne peppermint schnapps"
pa's colony,"gin, grapefruit juice, grenadine syrup, maraschino liqueur"
michael's alpine negroni,"americano bianco, gentian liqueur, gin, lemon bitters, saline solution 4:1, white creme de menthe, yellow chartreuse liqueur"
sweet peach old-fashioned,"archers peach schnapps, bourbon whiskey, maraschino cherries, maraschino syrup, orange, orange bitters"
speyside single malt old fashioned,"angostura aromatic bitters, speyside single malt scotch whisky, sugar syrup"
the bluff,"avallen calvados, difford's falernum liqueur, portobello old tom gin, suze gentian liqueur"
santa maria (by dani umoette),"banana liqueur, cynar or other carciofo amaro, del maguey vida mezcal, disaronno amaretto"
natasha / наташа,"creme de banane liqueur, creme de fraise liqueur, maraschino cherries, triple sec, vodka"
gulf stream / カルフ ストリーム,"blue curacao, grapefruit juice, peachtree peach schnapps, pineapple juice, vodka"
balalaika / балалаика,"lemon juice, triple sec, vodka"
st. mezcal a l'orange,"cinzano extra dry vermouth, mezcal union blanco, punt e mes vermouth, st-germain elderflower liqueur"
san's alexander,"creme de cacao brown liqueur, gin, single cream / half-and-half"
french tart,"'simple' sugar syrup, grapefruit juice, lemon juice, rosemary sprig, soda water, st-germain elderflower liqueur, vodka"
jordy's maple rum old-fashioned,"angostura or other aromatic bitters, appleton estate rare blend 12 year old jamaican rum, maple syrup, orange bitters, wray & nephew white overproof rum"
blue pidgeon,"blue curacao, fever-tree premium indian tonic water, lime juice, luxardo bitter bianco liqueur, vodka"
cachaca expresso,"'simple' sugar syrup, cachaca, espresso coffee, kahlua coffee liqueur"
manhattan ( high ryeser ),"angostura or other aromatic bitters, rosso/rouge vermouth, straight rye whiskey"
manhattan ( sweet ),"angostura or other aromatic bitters, bourbon whiskey, rosso/rouge vermouth"
jrs navy grog,"bacardi 4 year old gold rum, clement creole shrubb liqueur, grapefruit juice, hamilton pimento dram ministry of rum collection liqueur, luxardo sangue morlacco cherry liqueur, skipper demerara rum"
the hawke,"aviation american gin, grapefruit juice, tonic water"
colonia,"cinzano bianco vermouth, cointreau triple sec liqueur, rum"
mattias's gin & tonic,"fever-tree mediterranean tonic water, gin"
dd's brooklyn's finest,"angostura or other aromatic bitters, cognac, cynar ricetta originale artichoke amaro liqueur, falernum liqueur, straight rye whiskey"
texas ranch water,"blanco tequila, lime, topo chico sparkling mineral water"
mattias's death in the afternoon,"'simple' sugar syrup, absinthe, brut champagne"
mattias's bellini (difford's recipe),"lemon juice, peach 'schnapps' liqueur, peach puree, prosecco sparkling wine"
mattias's gin basil smash,"'simple' sugar syrup, basil leaves, gin, lemon juice"
mattias's el presidente,"dry vermouth, grenadine syrup, rum, triple sec liqueur"
batida de coca,"'simple' sugar syrup, cachaca, coconut milk, lime juice"
orange whip,"double cream / heavy cream, orange juice, rum, triple sec liqueur, vodka"
mattias's gold rush,"bourbon whiskey, honey syrup, lemon juice"
mattias's lemon drop,"'simple' sugar syrup, lemon juice, triple sec liqueur, vodka"
mattias's the last word cocktail,"gin, green chartreuse liqueur, lime juice, luxardo maraschino liqueur, syrup from luxardo maraschino cherries"
martin's scofflaw,"bourbon whiskey, dry vermouth, grenadine syrup, lemon juice, orange bitters"
carrot daiquiri,"'simple' sugar syrup, carrot juice, john d. taylor's velvet falernum liqueur, lime juice, pusser's british navy rum"
pineapple lemon crush,"'simple' sugar syrup, lemon juice, pineapple, rum"
peruvian chinese,"belvedere rye vodka, cocktail foamer, lemon juice, lime juice, orange juice, physalis fruits, simon's no evil bavarian marine rum, star anise and sage syrup"
georg's singapore sling,"angostura aromatic bitters, benedictine d.o.m., cherry brandy liqueur, cointreau triple sec liqueur, hendrick's gin, lime juice, monin grenadine syrup, pineapple juice"
peckham calling,"eager pink grapefruit juice, fino sherry, gin, honey syrup, lemon bitters"
georg's amaretto sour,"aquafaba, bourbon whiskey, disaronno amaretto, lemon juice, orgeat sugar syrup"
lakeside swizzle,"falernum liqueur, green chartreuse liqueur, pineapple juice, yuzu juice"
cropover tiki,"angostura or other aromatic bitters, cinnamon sugar syrup, coconut milk, lime juice, mount gay eclipse silver rum, vanilla sugar syrup"
the softy,"beefeater monday's gin, grapefruit juice, honey syrup, sweet vermouth"
f.g.p. (filthy green puritan),"chilled water, dry vermouth, gin, green chartreuse liqueur, olive bitters"
party all the time,"ancho reyes chile liqueur, lime juice, mango puree, montelobos joven mezcal, sugar syrup"
jasmine's lavender elderflower martini,"dry vermouth, elderflower liqueur, gin, lavender syrup"
orchard keeper,"avallen calvados, honey syrup, martini bianco vermouth"
sugar my plums,"mirabelle eau-de-vie, plum bitters, sake, umeshu plum sake"
vincenzo's corpse reviver no.2 (savoy recipe),"absinthe verte, cointreau triple sec liqueur, gin, lemon juice, lillet blanc, sugar syrup"
shona's tom collins with tonic,"angostura aromatic bitters, fever-tree premium indian tonic water, lemon juice, plymouth gin"
irmina's orange brulee,"cognac, disaronno amaretto, grand marnier liqueur, single cream / half-and-half"
chad's whiskey sour (difford's recipe),"angostura or other aromatic bitters, bourbon whiskey, lemon juice, pasteurised egg white, pineapple juice, sugar syrup"
stephen's flying frenchman (absinthe espresso martini),"absinthe verte, espresso coffee, golden syrup, milk"
michael's milo,"gin, peychaud's or other creole-style bitters, raspberries, sugar syrup, triple sec liqueur"
jrs san diego zephyr,"angostura aromatic bitters, appleton estate 151 dark rum, caribbean blended rum aged 3-5 years, chilled water, clement creole shrubb liqueur, hamilton pimento dram ministry of rum collection liqueur, orange bitters, orange juice, skipper demerara rum"
pink panther,"licor 43 original liqueur, milk, monin grenadine syrup"
barraquito canario,"cinnamon powder, condensed milk, espresso coffee, licor 43 original liqueur, lime zest, milk"
candie's the last word cocktail,"ardbeg ten, chilled water, gin, green chartreuse liqueur, lime juice, maraschino liqueur"
rodrigo's muddy water,"coffee liqueur, irish cream liqueur, vanilia vodka"
michael's dark 'n' stormy (difford's recipe),"angostura or other aromatic bitters, dark/black/blackstrap rum, ginger beer, king's ginger liqueur, lime juice"
nostalgia,"lime, rosso/rouge vermouth, soda water, sugar syrup"
savannah summer (ginger salty dog),"grapefruit juice, maraschino liqueur, vodka"
d's red brandy manhattan,"angostura or other aromatic bitters, cognac, dry vermouth, rioja crianza red wine, rosso/rouge vermouth"
the funky pirate,"chilled water, cinnamon sugar syrup, kahlua coffee liqueur, lime juice, plantation 3 stars rum, plantation overproof o.f.t.d. rum"
sunset in sao paulo,"passion fruit puree, peach 'schnapps' liqueur, small ripe strawberries, sugar syrup, vanilla vodka, white/gold 1-3 year old mellow light rum"
kazzatini,"amontillado sherry, blended scotch whisky, luxardo maraschino liqueur"
mannsmasher,"bourbon whiskey, dark creme de cacao liqueur, green chartreuse liqueur, single cream / half-and-half, triple sec liqueur"
blonde brut,"brut champagne, elderflower liqueur, lemon juice, maraschino syrup"
emily's brazil 66 cocktail,"chilled water, lime juice, orange juice, pisco, sugar syrup, triple sec liqueur"
james's silk stocking cocktail,"blanco tequila, bols strawberry liqueur, grenadine/pomegranate syrup, maraschino liqueur, single cream / half-and-half, white creme de cacao liqueur"
james's screaming orgasm,"amaretto liqueur, coffee liqueur, irish cream liqueur, milk, single cream / half-and-half, vodka"
james's barbary coast,"blended scotch whisky, gin, single cream / half-and-half, white creme de cacao liqueur"
james's apple & melon cocktail,"green melon liqueur, lime juice, sour apple liqueur, vodka"
jrs monte carlo,"absinthe, angostura or other aromatic bitters, benedictine d.o.m. liqueur, straight rye whiskey"
luca's last word cocktail,"chilled water, gin, green chartreuse liqueur, lime juice, maraschino liqueur"
little wing chateau frontenac,"bittersweet orange-red aperitivo, bourbon whiskey, cucumber, lemon juice, st-germain elderflower liqueur"
cha do arouche,"albumin / powdered egg white, bulleit kentucky straight bourbon whiskey, carpano classico, cha mate, honey, lemon juice, root ginger"
xo cooler,"'simple' sugar syrup, lime juice, mint leaves, patron xo cafe liqueur, soda water"
fruity boy,"black raspberry liqueur, carbonated/sparkling/selzer mineral water, fever-tree premium lemonade, grenadine syrup, raspberri vodka"
frozen crown manhattan,"crown royal fine de luxe blended canadian whisky, fee brothers cherry bitters, fee brothers old fashion bitters, sweet vermouth"
stephan's vesper dry martini,"caperitif 'cape aperitif', gin, lillet blanc, vodka"
greg's 20th century,"dutch cacao white creme de cacao, gin, lemon juice, lillet blanc"
theresa's grapefruit daiquiri #1,"grapefruit bitters, grapefruit juice, sugar syrup, white 1-3 year old light rum"
